,Year,week,Vendor_x,CLAIM_ID,Claim Name,sales_dollars_value,sales_units_value,sales_lbs_value,sales_unit_value,Competitors,Competitors_unit_price,Competitors_sales_dollars,Competitors_units_value,searchVolume,total_post
88,2016,4,A,39,high/source of protein,66875.0,17482,20335,3.82536323075163,Others,28.143182944967773,567648.0,20170.0,181.0,21.0
89,2016,4,A,40,no additives/preservatives,7881513.0,1139055,3117114,6.919343666460355,"Others,D,B,F",11.05194076993654,61890802.0,5599994.0,0.0,33.0
90,2016,4,A,58,buckwheat,830837.0,149482,113468,5.5581073306485065,"D,B,Others",5.614875538369145,5665780.0,1009066.0,0.0,0.0
91,2016,4,A,73,brown ale,119.0,11,17,10.818181818181818,"Others,H",4.491723002253424,310953.0,69228.0,0.0,0.0
92,2016,4,A,75,french bisque,46668.0,35034,9855,1.3320774105154993,"D,B,Others",3.3512725674735417,915132.0,273070.0,14419.0,404.0
93,2016,4,A,81,gmo free,125104.0,35536,87883,3.520486267447096,"Others,B,F",13.491497090884955,19717027.0,1461441.0,9155.0,389.0
94,2016,4,A,120,crab,22878.0,1679,5371,13.62596783799881,"Others,F",23.52654338326072,3601655.0,153089.0,0.0,42.0
95,2016,4,A,147,american gumbo,1406.0,188,293,7.4787234042553195,"Others,Private Label,H,F",4.719918278873345,378882.0,80273.0,0.0,481.0
96,2016,4,A,151,low sodium,202879.0,10460,107347,19.39569789674952,"Others,B,F",15.554743985376936,2101897.0,135129.0,6084.0,212.0
97,2016,4,A,152,low sugar,16686.0,9876,1296,1.68955042527339,"Others,Private Label,H",7.572660691914812,157163.0,20754.0,21202.0,51.0
98,2016,4,A,158,chicken,305684.0,34351,133373,8.898838461762393,Others,6.836788376025552,873304.0,127736.0,78033.0,673.0
99,2016,4,A,185,cookie,3744904.0,221842,2697560,16.880951307687454,"D,B",14.684071535852473,14762925.0,1005370.0,0.0,0.0
100,2016,4,A,186,pollock,4774080.0,276008,3285031,17.29688994521898,"D,B,Others",17.575484237007213,24410344.0,1388886.0,0.0,0.0
101,2016,4,A,187,blueberry,2286967.0,89481,1656881,25.558129658810252,Others,26.597301686520694,8892994.0,334357.0,20566.0,275.0
102,2016,4,A,193,poultry,79509.0,3341,33353,23.797964681233164,Others,19.729169408977228,299765.0,15194.0,0.0,8.0
103,2016,4,A,220,herbs,1257791.0,35315,1069410,35.61633866628911,,0.0,0.0,0.0,0.0,4.0
104,2016,4,A,222,pizza,3744904.0,221842,2697560,16.880951307687454,"D,B",14.684071535852473,14762925.0,1005370.0,0.0,0.0
105,2016,4,A,224,american southwest style,2286967.0,89481,1656881,25.558129658810252,Others,26.597301686520694,8892994.0,334357.0,0.0,0.0
106,2016,4,A,227,salmon,6691400.0,688887,4689238,9.713349214022038,,0.0,0.0,0.0,1912.0,72.0
107,2016,4,A,228,beef hamburger,637.0,29,29,21.96551724137931,Others,12.530869052300433,31866.0,2543.0,6562.0,79.0
108,2016,4,A,287,tilapia,137008.0,27704,58654,4.945423043603812,,0.0,0.0,0.0,0.0,0.0
109,2016,4,A,430,soy foods,6292882.0,1482454,5250313,4.2449087796316105,,0.0,0.0,0.0,1935.0,62.0
110,2016,4,A,432,apple cinnamon,6308921.0,582638,3907696,10.828200357683501,"Others,D,B,F",9.963524000623835,34306635.0,3443223.0,0.0,0.0
111,2016,4,A,433,gingerbread,25875.0,1675,16765,15.447761194029852,"Others,H,B,F",7.302482574047814,1096884.0,150207.0,0.0,624.0
112,2016,4,A,438,ethnic & exotic,2909862.0,114350,1976758,25.446978574551814,"Others,B,F",20.366662127891342,9572820.0,470024.0,101627.0,1757.0
113,2016,5,A,0,No Claim,132799933.0,55816330,136278227,2.3792308272507348,,0.0,0.0,0.0,0.0,0.0
114,2016,5,A,8,low carb,9166248.0,2092314,3012709,4.380914145773531,"Others,D,F",8.667018631782538,59411078.0,6854846.0,53537.0,1331.0
115,2016,5,A,15,beans,12730.0,852,4686,14.94131455399061,"D,Others",17.818428511125852,590966.0,33166.0,0.0,14.0
116,2016,5,A,32,stroganoff,7654481.0,1207591,3733901,6.338637005409944,"Others,D,B,F",10.522104381290088,47525494.0,4516729.0,0.0,0.0
117,2016,5,A,39,high/source of protein,68471.0,19923,22071,3.4367816091954024,Others,27.373449252710756,560444.0,20474.0,1355.0,16.0
118,2016,5,A,40,no additives/preservatives,8082137.0,1250723,3164217,6.461971995397862,"Others,D,B,F",10.83990971534572,60843481.0,5612914.0,0.0,56.0
